TimeStamp,PLC1_InputRegisters_IW0,PLC1_MemoryRegisters_MW0,PLC1_MemoryRegisters_MW1,PLC1_Coils_QX00,PLC1_Coils_QX01,PLC1_Coils_QX02,PLC3_InputRegisters_IW0,PLC3_MemoryRegisters_MW1,PLC3_Coils_QX00,PLC3_Coils_QX02,PLC2_InputRegisters_IW0,PLC2_MemoryRegisters_MW1,PLC2_MemoryRegisters_MW2,PLC2_Coils_QX00
2022-05-03 11:44:05.660,55,40,80,0,1,1,0,10,0,1,19,10,20,1
2022-05-03 11:44:06.460,53,40,80,0,1,1,0,10,0,1,20,10,20,0
2022-05-03 11:44:07.261,53,40,80,0,0,0,0,10,0,1,20,10,20,0
2022-05-03 11:44:08.062,53,40,80,0,0,0,0,10,0,1,20,10,20,0
2022-05-03 11:44:08.862,53,40,80,0,0,0,0,10,0,1,19,10,20,0
2022-05-03 11:44:09.663,53,40,80,0,0,0,0,10,0,1,19,10,20,0
2022-05-03 11:44:10.463,53,40,80,0,0,0,0,10,0,1,19,10,20,0
2022-05-03 11:44:11.264,53,40,80,0,0,0,0,10,0,1,19,10,20,0
2022-05-03 11:44:12.066,53,40,80,0,0,0,0,10,0,1,18,10,20,0
2022-05-03 11:44:12.865,53,40,80,0,0,0,0,10,0,1,18,10,20,0
2022-05-03 11:44:13.666,53,40,80,0,0,0,0,10,0,1,18,10,20,0
2022-05-03 11:44:14.467,53,40,80,0,0,0,0,10,0,1,18,10,20,0
2022-05-03 11:44:15.268,53,40,80,0,0,0,0,10,0,1,17,10,20,0
2022-05-03 11:44:16.069,53,40,80,0,0,0,0,10,0,1,17,10,20,0
2022-05-03 11:44:16.869,53,40,80,0,0,0,0,10,0,1,17,10,20,0
2022-05-03 11:44:17.670,53,40,80,0,0,0,0,10,0,1,17,10,20,0
2022-05-03 11:44:18.471,53,40,80,0,0,0,0,10,0,1,17,10,20,0
2022-05-03 11:44:19.271,53,40,80,0,0,0,0,10,0,1,16,10,20,0
2022-05-03 11:44:20.072,53,40,80,0,0,0,0,10,0,1,16,10,20,0
2022-05-03 11:44:20.873,53,40,80,0,0,0,0,10,0,1,16,10,20,0
2022-05-03 11:44:21.673,53,40,80,0,0,0,0,10,0,1,16,10,20,0
2022-05-03 11:44:22.474,53,40,80,0,0,0,0,10,0,1,16,10,20,0
2022-05-03 11:44:23.275,53,40,80,0,0,0,0,10,0,1,15,10,20,0
2022-05-03 11:44:24.075,53,40,80,0,0,0,0,10,0,1,15,10,20,0
2022-05-03 11:44:24.876,53,40,80,0,0,0,0,10,0,1,15,10,20,0
2022-05-03 11:44:25.677,53,40,80,0,0,0,0,10,0,1,15,10,20,0
2022-05-03 11:44:26.477,53,40,80,0,0,0,0,10,0,1,15,10,20,0
2022-05-03 11:44:27.278,53,40,80,0,0,0,0,10,0,1,14,10,20,0
2022-05-03 11:44:28.078,53,40,80,0,0,0,0,10,0,1,14,10,20,0
2022-05-03 11:44:28.879,53,40,80,0,0,0,0,10,0,1,14,10,20,0
2022-05-03 11:44:29.679,53,40,80,0,0,0,0,10,0,1,14,10,20,0
2022-05-03 11:44:30.480,53,40,80,0,0,0,0,10,0,1,13,10,20,0
2022-05-03 11:44:31.281,53,40,80,0,0,0,0,10,0,1,13,10,20,0
2022-05-03 11:44:32.081,53,40,80,0,0,0,0,10,0,1,13,10,20,0
2022-05-03 11:44:32.882,53,40,80,0,0,0,0,10,0,1,13,10,20,0
2022-05-03 11:44:33.682,53,40,80,0,0,0,0,10,0,1,13,10,20,0
2022-05-03 11:44:34.483,53,40,80,0,0,0,0,10,0,1,12,10,20,0
2022-05-03 11:44:35.284,53,40,80,0,0,0,0,10,0,1,12,10,20,0
2022-05-03 11:44:36.084,53,40,80,0,0,0,0,10,0,1,12,10,20,0
2022-05-03 11:44:36.985,53,40,80,0,0,0,0,10,0,1,12,10,20,0
2022-05-03 11:44:37.785,53,40,80,0,0,0,0,10,0,1,12,10,20,0
2022-05-03 11:44:38.586,53,40,80,0,0,0,0,10,0,1,11,10,20,0
2022-05-03 11:44:39.387,53,40,80,0,0,0,0,10,0,1,11,10,20,0
2022-05-03 11:44:40.190,53,40,80,0,0,0,0,10,0,1,11,10,20,0
2022-05-03 11:44:40.990,53,40,80,0,0,0,0,10,0,1,11,10,20,0
2022-05-03 11:44:41.790,53,40,80,0,0,0,0,10,0,1,11,10,20,0
2022-05-03 11:44:42.591,53,40,80,0,0,0,0,10,0,1,11,10,20,0
2022-05-03 11:44:43.391,53,40,80,0,0,0,0,10,0,1,10,10,20,1
2022-05-03 11:44:44.191,53,40,80,0,1,1,0,10,0,1,10,10,20,1
2022-05-03 11:44:44.991,51,40,80,0,1,1,0,10,0,1,11,10,20,1
2022-05-03 11:44:45.792,50,40,80,0,1,1,0,10,0,1,11,10,20,1
2022-05-03 11:44:46.592,48,40,80,0,1,1,0,10,0,1,12,10,20,1
2022-05-03 11:44:47.393,47,40,80,0,1,1,0,10,0,1,13,10,20,1
2022-05-03 11:44:48.193,45,40,80,0,1,1,0,10,0,1,13,10,20,1
2022-05-03 11:44:48.994,44,40,80,0,1,1,0,10,0,1,13,10,20,1
2022-05-03 11:44:49.795,43,40,80,0,1,1,0,10,0,1,14,10,20,1
2022-05-03 11:44:50.595,41,40,80,0,1,1,0,10,0,1,14,10,20,1
2022-05-03 11:44:51.395,40,40,80,1,1,1,0,10,0,1,15,10,20,1
2022-05-03 11:44:52.196,41,40,80,1,1,1,0,10,0,1,15,10,20,1
2022-05-03 11:44:52.997,42,40,80,1,1,1,0,10,0,1,16,10,20,1
2022-05-03 11:44:53.797,42,40,80,1,1,1,0,10,0,1,16,10,20,1
2022-05-03 11:44:54.598,43,40,80,1,1,1,0,10,0,1,17,10,20,1
2022-05-03 11:44:55.399,44,40,80,1,1,1,0,10,0,1,17,10,20,1
2022-05-03 11:44:56.199,45,40,80,1,1,1,0,10,0,1,17,10,20,1
2022-05-03 11:44:57.000,45,40,80,1,1,1,0,10,0,1,18,10,20,1
2022-05-03 11:44:57.801,46,40,80,1,1,1,0,10,0,1,18,10,20,1
2022-05-03 11:44:58.601,46,40,80,1,1,1,0,10,0,1,19,10,20,1
2022-05-03 11:44:59.401,47,40,80,1,1,1,0,10,0,1,19,10,20,1
2022-05-03 11:45:00.202,48,40,80,1,1,1,0,10,0,1,20,10,20,0
2022-05-03 11:45:01.003,49,40,80,1,0,0,0,10,0,1,20,10,20,0
2022-05-03 11:45:01.803,51,40,80,1,0,0,0,10,0,1,20,10,20,0
2022-05-03 11:45:02.604,53,40,80,1,0,0,0,10,0,1,20,10,20,0
2022-05-03 11:45:03.404,55,40,80,1,0,0,0,10,0,1,19,10,20,0
2022-05-03 11:45:04.205,57,40,80,1,0,0,0,10,0,1,19,10,20,0
2022-05-03 11:45:05.006,59,40,80,1,0,0,0,10,0,1,19,10,20,0
2022-05-03 11:45:05.806,61,40,80,1,0,0,0,10,0,1,19,10,20,0
2022-05-03 11:45:06.607,63,40,80,1,0,0,0,10,0,1,18,10,20,0
2022-05-03 11:45:07.408,65,40,80,1,0,0,0,10,0,1,18,10,20,0
2022-05-03 11:45:08.208,67,40,80,1,0,0,0,10,0,1,18,10,20,0
2022-05-03 11:45:09.009,69,40,80,1,0,0,0,10,0,1,18,10,20,0
2022-05-03 11:45:09.809,71,40,80,1,0,0,0,10,0,1,17,10,20,0
2022-05-03 11:45:10.610,73,40,80,1,0,0,0,10,0,1,17,10,20,0
2022-05-03 11:45:11.411,75,40,80,1,0,0,0,10,0,1,17,10,20,0
2022-05-03 11:45:12.212,77,40,80,1,0,0,0,10,0,1,17,10,20,0
2022-05-03 11:45:13.012,79,40,80,1,0,0,0,10,0,1,16,10,20,0
2022-05-03 11:45:13.812,80,40,80,0,0,0,0,10,0,1,16,10,20,0
2022-05-03 11:45:14.613,80,40,80,0,0,0,0,10,0,1,16,10,20,0
2022-05-03 11:45:15.414,80,40,80,0,0,0,0,10,0,1,16,10,20,0
2022-05-03 11:45:16.215,80,40,80,0,0,0,0,10,0,1,15,10,20,0
2022-05-03 11:45:17.015,80,40,80,0,0,0,0,10,0,1,15,10,20,0
2022-05-03 11:45:17.816,80,40,80,0,0,0,0,10,0,1,15,10,20,0
2022-05-03 11:45:18.616,80,40,80,0,0,0,0,10,0,1,15,10,20,0
2022-05-03 11:45:19.417,80,40,80,0,0,0,0,10,0,1,15,10,20,0
2022-05-03 11:45:20.217,80,40,80,0,0,0,0,10,0,1,14,10,20,0
2022-05-03 11:45:21.018,80,40,80,0,0,0,0,10,0,1,14,10,20,0
2022-05-03 11:45:21.819,80,40,80,0,0,0,0,10,0,1,14,10,20,0
2022-05-03 11:45:22.619,80,40,80,0,0,0,0,10,0,1,14,10,20,0
2022-05-03 11:45:23.420,80,40,80,0,0,0,0,10,0,1,14,10,20,0
2022-05-03 11:45:24.220,80,40,80,0,0,0,0,10,0,1,13,10,20,0
2022-05-03 11:45:25.021,80,40,80,0,0,0,0,10,0,1,13,10,20,0
2022-05-03 11:45:25.822,80,40,80,0,0,0,0,10,0,1,13,10,20,0
2022-05-03 11:45:26.622,80,40,80,0,0,0,0,10,0,1,13,10,20,0
2022-05-03 11:45:27.423,80,40,80,0,0,0,0,10,0,1,13,10,20,0
2022-05-03 11:45:28.224,80,40,80,0,0,0,0,10,0,1,12,10,20,0
2022-05-03 11:45:29.024,80,40,80,0,0,0,0,10,0,1,12,10,20,0
2022-05-03 11:45:29.825,80,40,80,0,0,0,0,10,0,1,12,10,20,0
2022-05-03 11:45:30.625,80,40,80,0,0,0,0,10,0,1,12,10,20,0
2022-05-03 11:45:31.426,80,40,80,0,0,0,0,10,0,1,12,10,20,0
2022-05-03 11:45:32.226,80,40,80,0,0,0,0,10,0,1,11,10,20,0
2022-05-03 11:45:33.028,80,40,80,0,0,0,0,10,0,1,11,10,20,0
2022-05-03 11:45:33.829,80,40,80,0,0,0,0,10,0,1,11,10,20,0
2022-05-03 11:45:34.728,80,40,80,0,0,0,0,10,0,1,11,10,20,0
2022-05-03 11:45:35.529,80,40,80,0,0,0,0,10,0,1,11,10,20,0
2022-05-03 11:45:36.330,80,40,80,0,0,0,0,10,0,1,10,10,20,1
2022-05-03 11:45:37.130,80,40,80,0,1,1,0,10,0,1,10,10,20,1
2022-05-03 11:45:37.931,78,40,80,0,1,1,0,10,0,1,11,10,20,1
2022-05-03 11:45:38.731,76,40,80,0,1,1,0,10,0,1,12,10,20,1
